timestamp,steps,heart_rate,calories_burned,activity_level
2026-05-21 06:00,0,62,0,resting
2026-05-21 07:00,1200,78,45,walking
2026-05-21 08:00,2800,85,98,walking
2026-05-21 09:00,3500,72,120,light
2026-05-21 10:00,4200,75,145,light
2026-05-21 11:00,4800,80,160,moderate
2026-05-21 12:00,5500,88,190,moderate
2026-05-21 13:00,6000,76,205,light
2026-05-21 14:00,6800,82,230,moderate
2026-05-21 15:00,7500,95,260,active
2026-05-21 16:00,8200,90,280,active
2026-05-21 17:00,8600,78,290,moderate
2026-05-21 18:00,9000,74,300,light
2026-05-21 19:00,9300,72,310,light
2026-05-21 20:00,9500,68,315,resting
2026-05-21 21:00,9600,65,318,resting
2026-05-21 22:00,9700,62,320,resting
2026-05-21 23:00,9800,60,322,resting
